,Strain,SOK5,Orientation,Zone,oX,dX,oY,dY,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median)
46,0.03875353465165449,0.8441719628465444,periclinal,provascular,933.0,935.0,1158.0,1090.0,0.8508960429696152,2.0940804681199694,2.174577705389179,0.11299563153149737,0.4748272980928054,0.4839088238800813
47,0.0642055367592212,0.8593724432612599,anticlinal,provascular,935.0,1011.0,1090.0,1100.0,0.8675442921471435,2.131787274959611,2.2137339760020827,0.27095959996450736,0.7866777009120571,0.8017236636353532
48,0.0530586449210825,0.11253909311495609,anticlinal,ground,972.0,1024.0,1604.0,1564.0,0.04957884841767573,0.27916814009944085,0.2898994679322074,0.20177811620522215,0.6501005194701012,0.662534313094863
49,0.029473686981468777,0.07536901065320614,periclinal,ground,1024.0,1060.0,1564.0,1623.0,0.008868503883208808,0.18696282280947465,0.19414974372170066,0.055401672587082486,0.36112605675948145,0.36803293766142464
50,0.06806032188704268,0.20330439164638478,periclinal,ground,1024.0,1031.0,1564.0,1496.0,0.14898908187063223,0.5043234961205391,0.5237098801424,0.2948837358212384,0.8339084173724888,0.8498577126784097
51,0.11141852938427273,0.16818104451556593,anticlinal,ground,1031.0,1057.0,1496.0,1496.0,0.11052041383981082,0.417195377160474,0.43323252366662246,0.56397983645248,1.365154423733305,1.3912643065318393
52,0.10009810402642162,0.17766036513180833,anticlinal,ground,1057.0,1114.0,1496.0,1497.0,0.12090259172809024,0.4407100886495698,0.4576511494698392,0.493721343375261,1.2264510245660698,1.249908072320411
53,0.04699140918093928,0.2449038200669497,periclinal,boundary,1057.0,1072.0,1496.0,1369.0,0.1945506451300311,0.6075163932723427,0.6308695508986506,0.1641227431276486,0.5757617738748961,0.5867737679573228
54,0.1182266895135345,0.39018394511023896,anticlinal,boundary,1072.0,1127.0,1369.0,1366.0,0.35366796618007146,0.967903003641778,1.0051095575082023,0.6062336437247127,1.4485713380410823,1.476276649033033
55,0.04117196644345082,0.16824118715844597,anticlinal,ground,908.0,964.0,1576.0,1494.0,0.11058628476477794,0.41734456895941924,0.4333874504541802,0.1280052595207678,0.5044591095815509,0.5141073720776042
56,0.08615232319553247,0.26205953444547425,anticlinal,ground,964.0,1016.0,1494.0,1484.0,0.2133403544023565,0.6500734171701429,0.6750624827294673,0.40716898204690277,1.055580483562584,1.0757694689484771
57,0.09761816013284008,0.26170234414150867,anticlinal,ground,1016.0,1031.0,1484.0,1496.0,0.21294914353125408,0.6491873592674213,0.6741423644292035,0.47832994990979816,1.1960655366616573,1.2189414329256119
58,0.07845360193623581,0.2671916329069038,anticlinal,ground,858.0,920.0,1536.0,1478.0,0.2189612592460464,0.6628042677806147,0.6882827120041459,0.35938804297427335,0.9612519778616103,0.9796368404423501
59,0.08140809585945842,0.34964632645578814,anticlinal,ground,920.0,964.0,1478.0,1494.0,0.3092693446885056,0.8673440663819622,0.9006850970484064,0.3777246588071279,0.9974518852869712,1.016529105687282
60,0.09090324133361243,0.4284233303989382,periclinal,ground,904.0,920.0,1426.0,1478.0,0.39554945921929574,1.0627608683545102,1.1036137940575845,0.43665483072865996,1.1137910608232648,1.135093379121163
61,0.04716888904390716,0.35116152982419535,periclinal,ground,975.0,1014.0,1388.0,1420.0,0.310928863502625,0.8711027292121182,0.9045882442850883,0.1652242448229914,0.5779363441316849,0.5889899289481375
62,0.04970293728727916,0.28471545439178453,periclinal,ground,1014.0,1016.0,1420.0,1484.0,0.23815413596199445,0.7062744301567379,0.7334238836982936,0.18095142868192782,0.6089847450440847,0.6206321601956343
63,0.11541899227037612,0.38820041277644984,anticlinal,boundary,995.0,1053.0,1377.0,1365.0,0.3514955124388965,0.9629825887252886,1.0,0.5888080990931622,1.414170055478987,1.4412174090705148
