,Strain,SOK5,Orientation,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median),Stage,Experiment
68,0.0770798112919998,0.2156342711770804,anticlinal,0.1978475274019622,0.6360358848476956,0.638009269744707,0.3052665880034737,0.7923973378230912,0.7436871839105927,3,Ablated
69,0.0571054104656961,0.3425370732824319,periclinal,0.4814780492139143,1.0103490011539884,1.0134837416727018,0.1502827777381764,0.5870561236442609,0.5509686801698219,3,Ablated
70,0.1666174450286466,0.3770279769747091,anticlinal,0.5585659688635141,1.1120835368071778,1.1155339220889386,1.0,1.7128638181978544,1.6075708594345397,3,Ablated
71,0.1228423496126253,0.2458692234510682,anticlinal,0.2654233030992664,0.7252170456990772,0.727467126864514,0.6603436998536777,1.262846252129846,1.1852167191002942,3,Ablated
72,0.1206852650420277,0.2417833466188685,anticlinal,0.2562912795446241,0.7131653237155492,0.7153780128301414,0.6436066177893459,1.2406709504191864,1.164404574871145,3,Ablated
73,0.14589927725606,0.1271127486818019,anticlinal,0.0,0.3749323757393808,0.3760956526948341,0.8392452113565918,1.499876516952687,1.4076762879725913,3,Ablated
74,0.0677712867226154,0.3542826438122318,periclinal,0.5077296547188944,1.0449937925602086,1.0482360230959948,0.2330406114519509,0.6967036670135134,0.653875982931608,3,Ablated
75,0.1621744172150105,0.3179754303632493,anticlinal,0.4265822432730555,0.9379018609005432,0.940811824648301,0.9655260057280304,1.667188519408369,1.5647033071225318,3,Ablated
76,0.131201257608496,0.1421001598587006,anticlinal,0.0334971898349815,0.4191393159323281,0.4204397507277683,0.7252014856827832,1.3487776566313985,1.2658657586324145,3,Ablated
77,0.0377368813613063,0.3302575410783678,periclinal,0.4540330277576191,0.9741292338215785,0.9771515977534831,0.0,0.3879434034310955,0.3640957931622609,3,Ablated
78,0.0386304331792933,0.3379798404235793,periclinal,0.4712925346915332,0.996906965164,1.0,0.0069331774517482,0.3971293117761172,0.372717026453551,3,Ablated
79,0.1397964873281977,0.293413761405942,anticlinal,0.3716863791364216,0.8654546438449194,0.8681398305834332,0.7918929205673106,1.4371385001999966,1.3487948950452455,3,Ablated
80,0.0355515378339558,0.2438132656688925,periclinal,0.1127614536059456,0.5288132515594939,0.5489413428792964,0.1896187443820395,0.5657558743318254,0.5636135315227108,4,Control
81,0.0723092632574484,0.1679439137389655,anticlinal,0.0,0.3642581418212827,0.3781228116663339,0.5395650873811924,1.1507066346208716,1.1463492638962778,4,Control
82,0.063000747522895,0.3354075674574765,periclinal,0.24889424437028,0.7274746345661138,0.7551643262185164,0.4509447768879018,1.0025738735929128,0.9987774358957616,4,Control
83,0.1206725064574865,0.3915111253284337,anticlinal,0.3322786226082466,0.8491591736760069,0.8814805146076002,1.0,1.9203439164159388,1.9130721669441024,4,Control
84,0.0465300954474889,0.452135454361771,periclinal,0.4223820344839413,0.9806489368428272,1.017975140933269,0.2941384349776385,0.7404651510600565,0.7376612381645041,4,Control
85,0.0964791960069726,0.3932356881606124,anticlinal,0.3348417684219984,0.8528996251083811,0.8853633379411816,0.7696712617644869,1.5353392628665048,1.5295254071407678,4,Control
86,0.0995025687189765,0.2863040510596598,anticlinal,0.1759137358337742,0.6209726766103151,0.6446086099101229,0.798454822550677,1.5834522553367496,1.5774562105642522,4,Control
87,0.0318371869039248,0.4381556646801139,periclinal,0.4016044561138902,0.9503277891505826,0.9864998867055492,0.1542568304005746,0.5066468741020849,0.5047283588259069,4,Control
88,0.1078001622833245,0.5259527956742271,anticlinal,0.5320936702892216,1.1407533847030542,1.1841736057980503,0.8774508020375109,1.715497522232747,1.7090014628057906,4,Control
89,0.0363032274664713,0.5686639178827453,periclinal,0.5955734299400213,1.2333907042962968,1.2803369573560663,0.1967750913795351,0.5777180242465837,0.575530384469264,4,Control
90,0.1181538146968651,0.4705867710428126,anticlinal,0.4498054569460119,1.0206685015817956,1.0595179607178875,0.9760211775724238,1.8802622562115892,1.8731422836110363,4,Control
91,0.0872688722277414,0.4441517638114993,anticlinal,0.4105162081826946,0.9633328923374088,1.0,0.6819857728707661,1.388769097408817,1.3835102576435767,4,Control
