edge_id,strain,orientation,zone,o_x,d_x,o_y,d_y,normalized_strain,relative_strain_mean,relative_strain_median,stage
170,0.042243680944381,periclinal,ground,1021,1036,969,905,0.2394801584671529,0.9789572385553496,1.0890465962661449,V
171,0.0443553734876759,periclinal,ground,1036,1067,905,868,0.2649537026121702,1.027893710345858,1.1434862550559133,V
172,0.0403037121353153,anticlinal,boundary,1067,1170,868,895,0.2160781337478804,0.9340003014288972,1.039033993643823,V
173,0.0326906220472081,anticlinal,ground,924,1036,841,905,0.1242407178062616,0.7575741595086622,0.8427677199155285,V
174,0.054849278112391,anticlinal,ground,987,1067,803,868,0.391542653053876,1.271079996753998,1.4140202345198332,V
175,0.0498939253251015,anticlinal,ground,1029,1119,768,808,0.3317657701066105,1.156244395966757,1.2862707116172023,V
176,0.0313057305327743,periclinal,ground,1119,1067,808,868,0.107534642274099,0.7254806122050104,0.807065069098291,V
177,0.0349292095752772,anticlinal,boundary,1119,1201,808,856,0.1512450079903701,0.8094513022138248,0.9004787449348056,V
178,0.0369022670651693,periclinal,boundary,1201,1170,856,895,0.1750461845532232,0.8551750381344424,0.951344377274788,V
179,0.0270538185606738,anticlinal,boundary,1201,1238,856,880,0.056243431502938,0.6269465851094955,0.6974503253704429,V
180,0.0329493423128481,periclinal,provascular,1238,1221,880,902,0.1273616845061335,0.7635697562736012,0.8494375559331636,V
181,0.0439976314537481,periclinal,boundary,1238,1272,880,792,0.2606382270839148,1.0196033780211191,1.1342636272999802,V
182,0.0483170737759635,anticlinal,boundary,1272,1322,792,793,0.312744062768273,1.11970235692929,1.2456193106498783,V
183,0.0504653808766948,periclinal,boundary,1201,1234,856,786,0.3386592917353393,1.169487336360174,1.3010028966320344,V
184,0.0369169532066828,anticlinal,boundary,1234,1272,786,792,0.1752233448483381,0.8555153755344891,0.9517229875679708,V
185,0.0415778771589057,periclinal,ground,1119,1157,808,765,0.2314485052915635,0.9635278673292316,1.071882103728016,V
186,0.0572340640370027,anticlinal,ground,1157,1168,765,764,0.4203105481340114,1.326345148632627,1.4755002697809951,V
187,0.0319531352267807,anticlinal,boundary,1168,1234,764,786,0.1153443454928879,0.740483601937527,0.8237552310977311,V
188,0.0520659740744095,anticlinal,ground,1089,1157,706,765,0.3579673967952645,1.2065795655849016,1.342266359829594,V
189,0.0348067713395495,anticlinal,ground,1137,1192,664,705,0.1497680241307872,0.8066139122311806,0.8973222741706298,V
190,0.0602094498107948,periclinal,ground,1192,1168,705,764,0.4562029042905978,1.3952968918432485,1.5522060320888131,V
191,0.0813306068598096,periclinal,boundary,1272,1273,792,658,0.7109893921201267,1.8847596734370395,2.096711711499589,V
192,0.094329049685619,periclinal,boundary,1234,1247,786,651,0.8677908205246091,2.185986257148528,2.431812952673288,V
193,0.1052888571181444,periclinal,ground,1192,1223,705,640,1,2.4399693992276883,2.714357956169528,V
